Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
63	Receive	22:45:51.488			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
64	Receive	22:45:51.598			0x00000101	Data	Standard	0x08	00 35 00 00 00 00 00 00 	
65	Receive	22:45:51.598			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
66	Receive	22:45:51.699			0x00000101	Data	Standard	0x08	00 34 00 00 00 00 00 00 	
67	Receive	22:45:51.699			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
68	Receive	22:45:51.791			0x00000101	Data	Standard	0x08	00 32 00 00 00 00 00 00 	
69	Receive	22:45:51.791			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
70	Receive	22:45:51.885			0x00000101	Data	Standard	0x08	00 31 00 00 00 00 00 00 	
71	Receive	22:45:51.885			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
72	Receive	22:45:51.984			0x00000101	Data	Standard	0x08	00 30 00 00 00 00 00 00 	
73	Receive	22:45:51.984			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
74	Receive	22:45:52.085			0x00000101	Data	Standard	0x08	00 2E 00 00 00 00 00 00 	
75	Receive	22:45:52.085			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
76	Receive	22:45:52.197			0x00000101	Data	Standard	0x08	00 2C 00 00 00 00 00 00 	
77	Receive	22:45:52.197			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
78	Receive	22:45:52.288			0x00000101	Data	Standard	0x08	00 2B 00 00 00 00 00 00 	
79	Receive	22:45:52.288			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
80	Receive	22:45:52.395			0x00000101	Data	Standard	0x08	00 29 00 00 00 00 00 00 	
81	Receive	22:45:52.395			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
82	Receive	22:45:52.488			0x00000101	Data	Standard	0x08	00 28 00 00 00 00 00 00 	
83	Receive	22:45:52.488			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
84	Receive	22:45:52.584			0x00000101	Data	Standard	0x08	00 27 00 00 00 00 00 00 	
85	Receive	22:45:52.600			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
86	Receive	22:45:52.694			0x00000101	Data	Standard	0x08	00 24 00 00 00 00 00 00 	
87	Receive	22:45:52.694			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
88	Receive	22:45:52.784			0x00000101	Data	Standard	0x08	00 21 00 00 00 00 00 00 	
89	Receive	22:45:52.784			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
90	Receive	22:45:52.892			0x00000101	Data	Standard	0x08	00 20 00 00 00 00 00 00 	
91	Receive	22:45:52.892			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
92	Receive	22:45:52.988			0x00000101	Data	Standard	0x08	00 1D 00 00 00 00 00 00 	
93	Receive	22:45:52.988			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
94	Receive	22:45:53.083			0x00000101	Data	Standard	0x08	00 1B 00 00 00 00 00 00 	
95	Receive	22:45:53.098			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
96	Receive	22:45:53.191			0x00000101	Data	Standard	0x08	00 1A 00 00 00 00 00 00 	
97	Receive	22:45:53.191			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
98	Receive	22:45:53.287			0x00000101	Data	Standard	0x08	00 19 00 00 00 00 00 00 	
99	Receive	22:45:53.287			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
100	Receive	22:45:53.398			0x00000101	Data	Standard	0x08	00 18 00 00 00 00 00 00 	
101	Receive	22:45:53.398			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
102	Receive	22:45:53.494			0x00000101	Data	Standard	0x08	00 16 00 00 00 00 00 00 	
103	Receive	22:45:53.494			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
