Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
63	Receive	23:02:00.196			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
64	Receive	23:02:00.291			0x00000101	Data	Standard	0x08	00 0A 00 00 00 00 00 00 	
65	Receive	23:02:00.291			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
66	Receive	23:02:00.399			0x00000101	Data	Standard	0x08	00 0D 00 00 00 00 00 00 	
67	Receive	23:02:00.399			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
68	Receive	23:02:00.488			0x00000101	Data	Standard	0x08	00 0F 00 00 00 00 00 00 	
69	Receive	23:02:00.488			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
70	Send	23:02:00.590	Success		0x00000101	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
71	Receive	23:02:00.590			0x00000101	Data	Standard	0x08	00 12 00 00 00 00 00 00 	
72	Receive	23:02:00.590			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
73	Send	23:02:00.606	Success		0x00000102	Data	Standard	0x08	01 00 00 00 00 00 00 00 	
74	Send	23:02:00.622	Success		0x00000103	Data	Standard	0x08	02 00 00 00 00 00 00 00 	
75	Send	23:02:00.637	Success		0x00000104	Data	Standard	0x08	03 00 00 00 00 00 00 00 	
76	Send	23:02:00.652	Success		0x00000105	Data	Standard	0x08	04 00 00 00 00 00 00 00 	
77	Send	23:02:00.669	Success		0x00000106	Data	Standard	0x08	05 00 00 00 00 00 00 00 	
78	Send	23:02:00.685	Success		0x00000107	Data	Standard	0x08	06 00 00 00 00 00 00 00 	
79	Receive	23:02:00.686			0x00000101	Data	Standard	0x08	00 14 00 00 00 00 00 00 	
80	Send	23:02:00.701	Success		0x00000108	Data	Standard	0x08	07 00 00 00 00 00 00 00 	
81	Receive	23:02:00.702			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
82	Send	23:02:00.717	Success		0x00000109	Data	Standard	0x08	08 00 00 00 00 00 00 00 	
83	Send	23:02:00.729	Success		0x0000010A	Data	Standard	0x08	09 00 00 00 00 00 00 00 	
84	Send	23:02:00.744	Success		0x0000010B	Data	Standard	0x08	0A 00 00 00 00 00 00 00 	
85	Send	23:02:00.760	Success		0x0000010C	Data	Standard	0x08	0B 00 00 00 00 00 00 00 	
86	Send	23:02:00.776	Success		0x0000010D	Data	Standard	0x08	0C 00 00 00 00 00 00 00 	
87	Send	23:02:00.792	Success		0x0000010E	Data	Standard	0x08	0D 00 00 00 00 00 00 00 	
88	Receive	23:02:00.792			0x00000101	Data	Standard	0x08	00 15 00 00 00 00 00 00 	
89	Receive	23:02:00.792			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
90	Send	23:02:00.812	Success		0x0000010F	Data	Standard	0x08	0E 00 00 00 00 00 00 00 	
91	Send	23:02:00.827	Success		0x00000110	Data	Standard	0x08	0F 00 00 00 00 00 00 00 	
92	Send	23:02:00.843	Success		0x00000111	Data	Standard	0x08	10 00 00 00 00 00 00 00 	
93	Send	23:02:00.858	Success		0x00000112	Data	Standard	0x08	11 00 00 00 00 00 00 00 	
94	Send	23:02:00.874	Success		0x00000113	Data	Standard	0x08	12 00 00 00 00 00 00 00 	
95	Send	23:02:00.890	Success		0x00000114	Data	Standard	0x08	13 00 00 00 00 00 00 00 	
