Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
63	Receive	22:55:10.206			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
64	Receive	22:55:10.305			0x00000101	Data	Standard	0x08	00 22 00 00 00 00 00 00 	
65	Receive	22:55:10.305			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
66	Receive	22:55:10.404			0x00000101	Data	Standard	0x08	00 23 00 00 00 00 00 00 	
67	Receive	22:55:10.404			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
68	Receive	22:55:10.515			0x00000101	Data	Standard	0x08	00 24 00 00 00 00 00 00 	
69	Receive	22:55:10.515			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
70	Receive	22:55:10.609			0x00000101	Data	Standard	0x08	00 26 00 00 00 00 00 00 	
71	Receive	22:55:10.609			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
72	Receive	22:55:10.713			0x00000101	Data	Standard	0x08	00 29 00 00 00 00 00 00 	
73	Receive	22:55:10.713			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
74	Receive	22:55:10.806			0x00000101	Data	Standard	0x08	00 2A 00 00 00 00 00 00 	
75	Receive	22:55:10.806			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
76	Receive	22:55:10.902			0x00000101	Data	Standard	0x08	00 2D 00 00 00 00 00 00 	
77	Receive	22:55:10.906			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
78	Receive	22:55:11.005			0x00000101	Data	Standard	0x08	00 2F 00 00 00 00 00 00 	
79	Receive	22:55:11.005			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
80	Receive	22:55:11.115			0x00000101	Data	Standard	0x08	00 31 00 00 00 00 00 00 	
81	Receive	22:55:11.115			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
82	Receive	22:55:11.211			0x00000101	Data	Standard	0x08	00 34 00 00 00 00 00 00 	
83	Receive	22:55:11.211			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
84	Receive	22:55:11.310			0x00000101	Data	Standard	0x08	00 36 00 00 00 00 00 00 	
85	Receive	22:55:11.310			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
86	Receive	22:55:11.403			0x00000101	Data	Standard	0x08	00 38 00 00 00 00 00 00 	
87	Receive	22:55:11.403			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
88	Receive	22:55:11.502			0x00000101	Data	Standard	0x08	00 3A 00 00 00 00 00 00 	
89	Receive	22:55:11.517			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
90	Receive	22:55:11.613			0x00000101	Data	Standard	0x08	00 3C 00 00 00 00 00 00 	
91	Receive	22:55:11.613			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
92	Receive	22:55:11.713			0x00000101	Data	Standard	0x08	00 3F 00 00 00 00 00 00 	
93	Receive	22:55:11.713			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
94	Receive	22:55:11.803			0x00000101	Data	Standard	0x08	00 42 00 00 00 00 00 00 	
95	Receive	22:55:11.803			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
96	Receive	22:55:11.903			0x00000101	Data	Standard	0x08	00 44 00 00 00 00 00 00 	
97	Receive	22:55:11.903			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
98	Receive	22:55:12.012			0x00000101	Data	Standard	0x08	00 47 00 00 00 00 00 00 	
99	Receive	22:55:12.012			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
100	Receive	22:55:12.104			0x00000101	Data	Standard	0x08	00 4A 00 00 00 00 00 00 	
101	Receive	22:55:12.104			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
102	Receive	22:55:12.212			0x00000101	Data	Standard	0x08	00 4C 00 00 00 00 00 00 	
103	Receive	22:55:12.212			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
104	Send	22:55:12.243	Success		0x00000101	Data	Standard	0x08	00 00 00 00 00 00 00 00 	
105	Send	22:55:12.258	Success		0x00000101	Data	Standard	0x08	01 00 00 00 00 00 00 00 	
106	Send	22:55:12.274	Success		0x00000101	Data	Standard	0x08	02 00 00 00 00 00 00 00 	
107	Send	22:55:12.290	Success		0x00000101	Data	Standard	0x08	03 00 00 00 00 00 00 00 	
108	Send	22:55:12.306	Success		0x00000101	Data	Standard	0x08	04 00 00 00 00 00 00 00 	
109	Receive	22:55:12.306			0x00000101	Data	Standard	0x08	00 4D 00 00 00 00 00 00 	
110	Receive	22:55:12.306			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
111	Send	22:55:12.322	Success		0x00000101	Data	Standard	0x08	05 00 00 00 00 00 00 00 	
112	Send	22:55:12.338	Success		0x00000101	Data	Standard	0x08	06 00 00 00 00 00 00 00 	
113	Send	22:55:12.354	Success		0x00000101	Data	Standard	0x08	07 00 00 00 00 00 00 00 	
114	Send	22:55:12.370	Success		0x00000101	Data	Standard	0x08	08 00 00 00 00 00 00 00 	
115	Send	22:55:12.386	Success		0x00000101	Data	Standard	0x08	09 00 00 00 00 00 00 00 	
116	Send	22:55:12.407	Success		0x00000101	Data	Standard	0x08	0A 00 00 00 00 00 00 00 	
117	Receive	22:55:12.408			0x00000101	Data	Standard	0x08	00 50 00 00 00 00 00 00 	
118	Receive	22:55:12.408			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
119	Send	22:55:12.423	Success		0x00000101	Data	Standard	0x08	0B 00 00 00 00 00 00 00 	
120	Send	22:55:12.438	Success		0x00000101	Data	Standard	0x08	0C 00 00 00 00 00 00 00 	
121	Send	22:55:12.454	Success		0x00000101	Data	Standard	0x08	0D 00 00 00 00 00 00 00 	
122	Send	22:55:12.470	Success		0x00000101	Data	Standard	0x08	0E 00 00 00 00 00 00 00 	
123	Send	22:55:12.486	Success		0x00000101	Data	Standard	0x08	0F 00 00 00 00 00 00 00 	
124	Send	22:55:12.502	Success		0x00000101	Data	Standard	0x08	10 00 00 00 00 00 00 00 	
125	Receive	22:55:12.503			0x00000101	Data	Standard	0x08	00 52 00 00 00 00 00 00 	
126	Receive	22:55:12.503			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
127	Send	22:55:12.518	Success		0x00000101	Data	Standard	0x08	11 00 00 00 00 00 00 00 	
128	Send	22:55:12.533	Success		0x00000101	Data	Standard	0x08	12 00 00 00 00 00 00 00 	
129	Send	22:55:12.549	Success		0x00000101	Data	Standard	0x08	13 00 00 00 00 00 00 00 	
130	Send	22:55:12.564	Success		0x00000101	Data	Standard	0x08	14 00 00 00 00 00 00 00 	
131	Send	22:55:12.580	Success		0x00000101	Data	Standard	0x08	15 00 00 00 00 00 00 00 	
132	Send	22:55:12.592	Success		0x00000101	Data	Standard	0x08	16 00 00 00 00 00 00 00 	
133	Send	22:55:12.608	Success		0x00000101	Data	Standard	0x08	17 00 00 00 00 00 00 00 	
134	Receive	22:55:12.608			0x00000101	Data	Standard	0x08	00 54 00 00 00 00 00 00 	
135	Receive	22:55:12.608			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
136	Send	22:55:12.624	Success		0x00000101	Data	Standard	0x08	18 00 00 00 00 00 00 00 	
137	Send	22:55:12.640	Success		0x00000101	Data	Standard	0x08	19 00 00 00 00 00 00 00 	
138	Send	22:55:12.657	Success		0x00000101	Data	Standard	0x08	1A 00 00 00 00 00 00 00 	
139	Send	22:55:12.673	Success		0x00000101	Data	Standard	0x08	1B 00 00 00 00 00 00 00 	
140	Send	22:55:12.689	Success		0x00000101	Data	Standard	0x08	1C 00 00 00 00 00 00 00 	
141	Send	22:55:12.707	Success		0x00000101	Data	Standard	0x08	1D 00 00 00 00 00 00 00 	
142	Receive	22:55:12.707			0x00000101	Data	Standard	0x08	00 56 00 00 00 00 00 00 	
143	Receive	22:55:12.707			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
144	Send	22:55:12.723	Success		0x00000101	Data	Standard	0x08	1E 00 00 00 00 00 00 00 	
145	Send	22:55:12.738	Success		0x00000101	Data	Standard	0x08	1F 00 00 00 00 00 00 00 	
146	Send	22:55:12.754	Success		0x00000101	Data	Standard	0x08	20 00 00 00 00 00 00 00 	
147	Send	22:55:12.770	Success		0x00000101	Data	Standard	0x08	21 00 00 00 00 00 00 00 	
148	Send	22:55:12.790	Success		0x00000101	Data	Standard	0x08	22 00 00 00 00 00 00 00 	
149	Send	22:55:12.806	Success		0x00000101	Data	Standard	0x08	23 00 00 00 00 00 00 00 	
150	Receive	22:55:12.807			0x00000101	Data	Standard	0x08	00 57 00 00 00 00 00 00 	
151	Receive	22:55:12.807			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
152	Send	22:55:12.822	Success		0x00000101	Data	Standard	0x08	24 00 00 00 00 00 00 00 	
153	Send	22:55:12.836	Success		0x00000101	Data	Standard	0x08	25 00 00 00 00 00 00 00 	
154	Send	22:55:12.852	Success		0x00000101	Data	Standard	0x08	26 00 00 00 00 00 00 00 	
155	Send	22:55:12.868	Success		0x00000101	Data	Standard	0x08	27 00 00 00 00 00 00 00 	
156	Send	22:55:12.884	Success		0x00000101	Data	Standard	0x08	28 00 00 00 00 00 00 00 	
157	Send	22:55:12.900	Success		0x00000101	Data	Standard	0x08	29 00 00 00 00 00 00 00 	
