Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
63	Receive	23:14:23.460			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
64	Receive	23:14:23.556			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
65	Receive	23:14:23.556			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
66	Receive	23:14:23.658			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
67	Receive	23:14:23.658			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
68	Receive	23:14:23.748			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
69	Receive	23:14:23.753			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
70	Receive	23:14:23.845			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
71	Receive	23:14:23.855			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
72	Send	23:14:23.885	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
73	Send	23:14:23.901	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
74	Send	23:14:23.917	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
75	Send	23:14:23.932	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
76	Send	23:14:23.948	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
77	Receive	23:14:23.949			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
78	Send	23:14:23.964	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
79	Receive	23:14:23.964			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
80	Send	23:14:23.982	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
81	Send	23:14:23.998	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
82	Send	23:14:24.013	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
83	Send	23:14:24.029	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
84	Send	23:14:24.042	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
85	Send	23:14:24.058	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
86	Receive	23:14:24.058			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
87	Send	23:14:24.073	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
88	Receive	23:14:24.073			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
89	Send	23:14:24.089	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
90	Send	23:14:24.105	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
91	Send	23:14:24.121	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
92	Send	23:14:24.135	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
93	Send	23:14:24.150	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
94	Send	23:14:24.166	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
95	Receive	23:14:24.167			0x00000100	Data	Standard	0x08	0A BC 00 00 00 00 00 00 	
96	Receive	23:14:24.167			0x00000101	Data	Standard	0x08	00 45 00 00 00 00 00 00 	
97	Send	23:14:24.182	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
98	Send	23:14:24.198	Success		0x00000101	Data	Standard	0x08	00 90 00 00 00 00 00 00 	
